"A Feed" "D Feed" "E Feed" "Total Feed" "Recycle Flow" "Reactor Feed Rate" "Reactor Pressure" "Reactor Level" "Reactor Temperature" "Purge Rate" "Separator Temperature" "Separator Level" "Separator Pressure" "Separator Underflow" "Stripper Level" "Stripper Pressure" "Stripper Underflow" "Stripper Temperature" "Stripper Steam Flow" "Compressor Work" "Reactor Coolant Temperature" "Separator Coolant Temperature"
" 2.50521E-01" " 3.66404E+03" " 4.50927E+03" " 9.34774E+00" " 2.69024E+01" " 4.23388E+01" " 2.70500E+03" " 7.50000E+01" " 1.20400E+02" " 3.37117E-01" " 8.01094E+01" " 5.00000E+01" " 2.63373E+03" " 2.51602E+01" " 5.00000E+01" " 3.10221E+03" " 2.29487E+01" " 6.57310E+01" " 2.30308E+02" " 3.41434E+02" " 9.45993E+01" " 7.72970E+01"
" 2.50913E-01" " 3.61031E+03" " 4.50792E+03" " 9.32668E+00" " 2.66795E+01" " 4.19900E+01" " 2.70475E+03" " 7.53270E+01" " 1.20400E+02" " 3.36948E-01" " 8.00561E+01" " 5.02514E+01" " 2.63251E+03" " 2.51991E+01" " 4.96856E+01" " 3.10128E+03" " 2.29217E+01" " 6.57315E+01" " 2.31756E+02" " 3.41600E+02" " 9.46450E+01" " 7.73071E+01"
" 2.53267E-01" " 3.63260E+03" " 4.46800E+03" " 9.36206E+00" " 2.70541E+01" " 4.23584E+01" " 2.70527E+03" " 7.51528E+01" " 1.20406E+02" " 3.36157E-01" " 8.01740E+01" " 4.88424E+01" " 2.63382E+03" " 2.52098E+01" " 5.07923E+01" " 3.10234E+03" " 2.28281E+01" " 6.57371E+01" " 2.30897E+02" " 3.41626E+02" " 9.46479E+01" " 7.74482E+01"
" 2.56026E-01" " 3.62783E+03" " 4.53269E+03" " 9.41751E+00" " 2.69648E+01" " 4.23253E+01" " 2.70435E+03" " 7.48082E+01" " 1.20407E+02" " 3.30999E-01" " 8.01693E+01" " 4.84671E+01" " 2.63292E+03" " 2.50985E+01" " 5.00550E+01" " 3.10174E+03" " 2.29577E+01" " 6.57757E+01" " 2.29379E+02" " 3.41498E+02" " 9.46768E+01" " 7.74816E+01"
" 2.52745E-01" " 3.66753E+03" " 4.46722E+03" " 9.35429E+00" " 2.68854E+01" " 4.23072E+01" " 2.70513E+03" " 7.54749E+01" " 1.20389E+02" " 3.31977E-01" " 8.02736E+01" " 5.01079E+01" " 2.63394E+03" " 2.51837E+01" " 5.11022E+01" " 3.10286E+03" " 2.30046E+01" " 6.58575E+01" " 2.29318E+02" " 3.41705E+02" " 9.46175E+01" " 7.75268E+01"
" 2.50521E-01" " 3.66404E+03" " 4.50927E+03" " 9.34774E+00" " 2.69024E+01" " 4.23388E+01" " 2.70500E+03" " 7.50000E+01" " 1.20400E+02" " 3.37117E-01" " 8.01094E+01" " 5.00000E+01" " 2.63373E+03" " 2.51602E+01" " 5.00000E+01" " 3.10221E+03" " 2.29487E+01" " 6.57310E+01" " 2.30308E+02" " 3.41434E+02" " 9.45993E+01" " 7.72970E+01"
" 2.50913E-01" " 3.61031E+03" " 4.50792E+03" " 9.32668E+00" " 2.66795E+01" " 4.19900E+01" " 2.70475E+03" " 7.53270E+01" " 1.20400E+02" " 3.36948E-01" " 8.00561E+01" " 5.02514E+01" " 2.63251E+03" " 2.51991E+01" " 4.96856E+01" " 3.10128E+03" " 2.29217E+01" " 6.57315E+01" " 2.31756E+02" " 3.41600E+02" " 9.46450E+01" " 7.73071E+01"
" 2.53267E-01" " 3.63260E+03" " 4.46800E+03" " 9.36206E+00" " 2.70541E+01" " 4.23584E+01" " 2.70527E+03" " 7.51528E+01" " 1.20406E+02" " 3.36157E-01" " 8.01740E+01" " 4.88424E+01" " 2.63382E+03" " 2.52098E+01" " 5.07923E+01" " 3.10234E+03" " 2.28281E+01" " 6.57371E+01" " 2.30897E+02" " 3.41626E+02" " 9.46479E+01" " 7.74482E+01"
" 2.56026E-01" " 3.62783E+03" " 4.53269E+03" " 9.41751E+00" " 2.69648E+01" " 4.23253E+01" " 2.70435E+03" " 7.48082E+01" " 1.20407E+02" " 3.30999E-01" " 8.01693E+01" " 4.84671E+01" " 2.63292E+03" " 2.50985E+01" " 5.00550E+01" " 3.10174E+03" " 2.29577E+01" " 6.57757E+01" " 2.29379E+02" " 3.41498E+02" " 9.46768E+01" " 7.74816E+01"
" 2.52745E-01" " 3.66753E+03" " 4.46722E+03" " 9.35429E+00" " 2.68854E+01" " 4.23072E+01" " 2.70513E+03" " 7.54749E+01" " 1.20389E+02" " 3.31977E-01" " 8.02736E+01" " 5.01079E+01" " 2.63394E+03" " 2.51837E+01" " 5.11022E+01" " 3.10286E+03" " 2.30046E+01" " 6.58575E+01" " 2.29318E+02" " 3.41705E+02" " 9.46175E+01" " 7.75268E+01"
" 2.50521E-01" " 3.66404E+03" " 4.50927E+03" " 9.34774E+00" " 2.69024E+01" " 4.23388E+01" " 2.70500E+03" " 7.50000E+01" " 1.20400E+02" " 3.37117E-01" " 8.01094E+01" " 5.00000E+01" " 2.63373E+03" " 2.51602E+01" " 5.00000E+01" " 3.10221E+03" " 2.29487E+01" " 6.57310E+01" " 2.30308E+02" " 3.41434E+02" " 9.45993E+01" " 7.72970E+01"
" 2.50913E-01" " 3.61031E+03" " 4.50792E+03" " 9.32668E+00" " 2.66795E+01" " 4.19900E+01" " 2.70475E+03" " 7.53270E+01" " 1.20400E+02" " 3.36948E-01" " 8.00561E+01" " 5.02514E+01" " 2.63251E+03" " 2.51991E+01" " 4.96856E+01" " 3.10128E+03" " 2.29217E+01" " 6.57315E+01" " 2.31756E+02" " 3.41600E+02" " 9.46450E+01" " 7.73071E+01"
" 2.53267E-01" " 3.63260E+03" " 4.46800E+03" " 9.36206E+00" " 2.70541E+01" " 4.23584E+01" " 2.70527E+03" " 7.51528E+01" " 1.20406E+02" " 3.36157E-01" " 8.01740E+01" " 4.88424E+01" " 2.63382E+03" " 2.52098E+01" " 5.07923E+01" " 3.10234E+03" " 2.28281E+01" " 6.57371E+01" " 2.30897E+02" " 3.41626E+02" " 9.46479E+01" " 7.74482E+01"
" 2.56026E-01" " 3.62783E+03" " 4.53269E+03" " 9.41751E+00" " 2.69648E+01" " 4.23253E+01" " 2.70435E+03" " 7.48082E+01" " 1.20407E+02" " 3.30999E-01" " 8.01693E+01" " 4.84671E+01" " 2.63292E+03" " 2.50985E+01" " 5.00550E+01" " 3.10174E+03" " 2.29577E+01" " 6.57757E+01" " 2.29379E+02" " 3.41498E+02" " 9.46768E+01" " 7.74816E+01"
" 2.52745E-01" " 3.66753E+03" " 4.46722E+03" " 9.35429E+00" " 2.68854E+01" " 4.23072E+01" " 2.70513E+03" " 7.54749E+01" " 1.20389E+02" " 3.31977E-01" " 8.02736E+01" " 5.01079E+01" " 2.63394E+03" " 2.51837E+01" " 5.11022E+01" " 3.10286E+03" " 2.30046E+01" " 6.58575E+01" " 2.29318E+02" " 3.41705E+02" " 9.46175E+01" " 7.75268E+01"
" 2.50521E-01" " 3.66404E+03" " 4.50927E+03" " 9.34774E+00" " 2.69024E+01" " 4.23388E+01" " 2.70500E+03" " 7.50000E+01" " 1.20400E+02" " 3.37117E-01" " 8.01094E+01" " 5.00000E+01" " 2.63373E+03" " 2.51602E+01" " 5.00000E+01" " 3.10221E+03" " 2.29487E+01" " 6.57310E+01" " 2.30308E+02" " 3.41434E+02" " 9.45993E+01" " 7.72970E+01"
" 2.50913E-01" " 3.61031E+03" " 4.50792E+03" " 9.32668E+00" " 2.66795E+01" " 4.19900E+01" " 2.70475E+03" " 7.53270E+01" " 1.20400E+02" " 3.36948E-01" " 8.00561E+01" " 5.02514E+01" " 2.63251E+03" " 2.51991E+01" " 4.96856E+01" " 3.10128E+03" " 2.29217E+01" " 6.57315E+01" " 2.31756E+02" " 3.41600E+02" " 9.46450E+01" " 7.73071E+01"
" 2.53267E-01" " 3.63260E+03" " 4.46800E+03" " 9.36206E+00" " 2.70541E+01" " 4.23584E+01" " 2.70527E+03" " 7.51528E+01" " 1.20406E+02" " 3.36157E-01" " 8.01740E+01" " 4.88424E+01" " 2.63382E+03" " 2.52098E+01" " 5.07923E+01" " 3.10234E+03" " 2.28281E+01" " 6.57371E+01" " 2.30897E+02" " 3.41626E+02" " 9.46479E+01" " 7.74482E+01"
" 2.56026E-01" " 3.62783E+03" " 4.53269E+03" " 9.41751E+00" " 2.69648E+01" " 4.23253E+01" " 2.70435E+03" " 7.48082E+01" " 1.20407E+02" " 3.30999E-01" " 8.01693E+01" " 4.84671E+01" " 2.63292E+03" " 2.50985E+01" " 5.00550E+01" " 3.10174E+03" " 2.29577E+01" " 6.57757E+01" " 2.29379E+02" " 3.41498E+02" " 9.46768E+01" " 7.74816E+01"
" 2.52745E-01" " 3.66753E+03" " 4.46722E+03" " 9.35429E+00" " 2.68854E+01" " 4.23072E+01" " 2.70513E+03" " 7.54749E+01" " 1.20389E+02" " 3.31977E-01" " 8.02736E+01" " 5.01079E+01" " 2.63394E+03" " 2.51837E+01" " 5.11022E+01" " 3.10286E+03" " 2.30046E+01" " 6.58575E+01" " 2.29318E+02" " 3.41705E+02" " 9.46175E+01" " 7.75268E+01"
" 2.50521E-01" " 3.66404E+03" " 4.50927E+03" " 9.34774E+00" " 2.69024E+01" " 4.23388E+01" " 2.70500E+03" " 7.50000E+01" " 1.20400E+02" " 3.37117E-01" " 8.01094E+01" " 5.00000E+01" " 2.63373E+03" " 2.51602E+01" " 5.00000E+01" " 3.10221E+03" " 2.29487E+01" " 6.57310E+01" " 2.30308E+02" " 3.41434E+02" " 9.45993E+01" " 7.72970E+01"
" 2.50913E-01" " 3.61031E+03" " 4.50792E+03" " 9.32668E+00" " 2.66795E+01" " 4.19900E+01" " 2.70475E+03" " 7.53270E+01" " 1.20400E+02" " 3.36948E-01" " 8.00561E+01" " 5.02514E+01" " 2.63251E+03" " 2.51991E+01" " 4.96856E+01" " 3.10128E+03" " 2.29217E+01" " 6.57315E+01" " 2.31756E+02" " 3.41600E+02" " 9.46450E+01" " 7.73071E+01"
" 2.53267E-01" " 3.63260E+03" " 4.46800E+03" " 9.36206E+00" " 2.70541E+01" " 4.23584E+01" " 2.70527E+03" " 7.51528E+01" " 1.20406E+02" " 3.36157E-01" " 8.01740E+01" " 4.88424E+01" " 2.63382E+03" " 2.52098E+01" " 5.07923E+01" " 3.10234E+03" " 2.28281E+01" " 6.57371E+01" " 2.30897E+02" " 3.41626E+02" " 9.46479E+01" " 7.74482E+01"
" 2.56026E-01" " 3.62783E+03" " 4.53269E+03" " 9.41751E+00" " 2.69648E+01" " 4.23253E+01" " 2.70435E+03" " 7.48082E+01" " 1.20407E+02" " 3.30999E-01" " 8.01693E+01" " 4.84671E+01" " 2.63292E+03" " 2.50985E+01" " 5.00550E+01" " 3.10174E+03" " 2.29577E+01" " 6.57757E+01" " 2.29379E+02" " 3.41498E+02" " 9.46768E+01" " 7.74816E+01"
" 2.52745E-01" " 3.66753E+03" " 4.46722E+03" " 9.35429E+00" " 2.68854E+01" " 4.23072E+01" " 2.70513E+03" " 7.54749E+01" " 1.20389E+02" " 3.31977E-01" " 8.02736E+01" " 5.01079E+01" " 2.63394E+03" " 2.51837E+01" " 5.11022E+01" " 3.10286E+03" " 2.30046E+01" " 6.58575E+01" " 2.29318E+02" " 3.41705E+02" " 9.46175E+01" " 7.75268E+01"
" 2.50521E-01" " 3.66404E+03" " 4.50927E+03" " 9.34774E+00" " 2.69024E+01" " 4.23388E+01" " 2.70500E+03" " 7.50000E+01" " 1.20400E+02" " 3.37117E-01" " 8.01094E+01" " 5.00000E+01" " 2.63373E+03" " 2.51602E+01" " 5.00000E+01" " 3.10221E+03" " 2.29487E+01" " 6.57310E+01" " 2.30308E+02" " 3.41434E+02" " 9.45993E+01" " 7.72970E+01"
" 2.50913E-01" " 3.61031E+03" " 4.50792E+03" " 9.32668E+00" " 2.66795E+01" " 4.19900E+01" " 2.70475E+03" " 7.53270E+01" " 1.20400E+02" " 3.36948E-01" " 8.00561E+01" " 5.02514E+01" " 2.63251E+03" " 2.51991E+01" " 4.96856E+01" " 3.10128E+03" " 2.29217E+01" " 6.57315E+01" " 2.31756E+02" " 3.41600E+02" " 9.46450E+01" " 7.73071E+01"
" 2.53267E-01" " 3.63260E+03" " 4.46800E+03" " 9.36206E+00" " 2.70541E+01" " 4.23584E+01" " 2.70527E+03" " 7.51528E+01" " 1.20406E+02" " 3.36157E-01" " 8.01740E+01" " 4.88424E+01" " 2.63382E+03" " 2.52098E+01" " 5.07923E+01" " 3.10234E+03" " 2.28281E+01" " 6.57371E+01" " 2.30897E+02" " 3.41626E+02" " 9.46479E+01" " 7.74482E+01"
" 2.56026E-01" " 3.62783E+03" " 4.53269E+03" " 9.41751E+00" " 2.69648E+01" " 4.23253E+01" " 2.70435E+03" " 7.48082E+01" " 1.20407E+02" " 3.30999E-01" " 8.01693E+01" " 4.84671E+01" " 2.63292E+03" " 2.50985E+01" " 5.00550E+01" " 3.10174E+03" " 2.29577E+01" " 6.57757E+01" " 2.29379E+02" " 3.41498E+02" " 9.46768E+01" " 7.74816E+01"
" 2.52745E-01" " 3.66753E+03" " 4.46722E+03" " 9.35429E+00" " 2.68854E+01" " 4.23072E+01" " 2.70513E+03" " 7.54749E+01" " 1.20389E+02" " 3.31977E-01" " 8.02736E+01" " 5.01079E+01" " 2.63394E+03" " 2.51837E+01" " 5.11022E+01" " 3.10286E+03" " 2.30046E+01" " 6.58575E+01" " 2.29318E+02" " 3.41705E+02" " 9.46175E+01" " 7.75268E+01"
" 2.50521E-01" " 3.66404E+03" " 4.50927E+03" " 9.34774E+00" " 2.69024E+01" " 4.23388E+01" " 2.70500E+03" " 7.50000E+01" " 1.20400E+02" " 3.37117E-01" " 8.01094E+01" " 5.00000E+01" " 2.63373E+03" " 2.51602E+01" " 5.00000E+01" " 3.10221E+03" " 2.29487E+01" " 6.57310E+01" " 2.30308E+02" " 3.41434E+02" " 9.45993E+01" " 7.72970E+01"
" 2.50913E-01" " 3.61031E+03" " 4.50792E+03" " 9.32668E+00" " 2.66795E+01" " 4.19900E+01" " 2.70475E+03" " 7.53270E+01" " 1.20400E+02" " 3.36948E-01" " 8.00561E+01" " 5.02514E+01" " 2.63251E+03" " 2.51991E+01" " 4.96856E+01" " 3.10128E+03" " 2.29217E+01" " 6.57315E+01" " 2.31756E+02" " 3.41600E+02" " 9.46450E+01" " 7.73071E+01"
" 2.53267E-01" " 3.63260E+03" " 4.46800E+03" " 9.36206E+00" " 2.70541E+01" " 4.23584E+01" " 2.70527E+03" " 7.51528E+01" " 1.20406E+02" " 3.36157E-01" " 8.01740E+01" " 4.88424E+01" " 2.63382E+03" " 2.52098E+01" " 5.07923E+01" " 3.10234E+03" " 2.28281E+01" " 6.57371E+01" " 2.30897E+02" " 3.41626E+02" " 9.46479E+01" " 7.74482E+01"
" 2.56026E-01" " 3.62783E+03" " 4.53269E+03" " 9.41751E+00" " 2.69648E+01" " 4.23253E+01" " 2.70435E+03" " 7.48082E+01" " 1.20407E+02" " 3.30999E-01" " 8.01693E+01" " 4.84671E+01" " 2.63292E+03" " 2.50985E+01" " 5.00550E+01" " 3.10174E+03" " 2.29577E+01" " 6.57757E+01" " 2.29379E+02" " 3.41498E+02" " 9.46768E+01" " 7.74816E+01"
" 2.52745E-01" " 3.66753E+03" " 4.46722E+03" " 9.35429E+00" " 2.68854E+01" " 4.23072E+01" " 2.70513E+03" " 7.54749E+01" " 1.20389E+02" " 3.31977E-01" " 8.02736E+01" " 5.01079E+01" " 2.63394E+03" " 2.51837E+01" " 5.11022E+01" " 3.10286E+03" " 2.30046E+01" " 6.58575E+01" " 2.29318E+02" " 3.41705E+02" " 9.46175E+01" " 7.75268E+01"
" 2.50521E-01" " 3.66404E+03" " 4.50927E+03" " 9.34774E+00" " 2.69024E+01" " 4.23388E+01" " 2.70500E+03" " 7.50000E+01" " 1.20400E+02" " 3.37117E-01" " 8.01094E+01" " 5.00000E+01" " 2.63373E+03" " 2.51602E+01" " 5.00000E+01" " 3.10221E+03" " 2.29487E+01" " 6.57310E+01" " 2.30308E+02" " 3.41434E+02" " 9.45993E+01" " 7.72970E+01"
" 2.50913E-01" " 3.61031E+03" " 4.50792E+03" " 9.32668E+00" " 2.66795E+01" " 4.19900E+01" " 2.70475E+03" " 7.53270E+01" " 1.20400E+02" " 3.36948E-01" " 8.00561E+01" " 5.02514E+01" " 2.63251E+03" " 2.51991E+01" " 4.96856E+01" " 3.10128E+03" " 2.29217E+01" " 6.57315E+01" " 2.31756E+02" " 3.41600E+02" " 9.46450E+01" " 7.73071E+01"
" 2.53267E-01" " 3.63260E+03" " 4.46800E+03" " 9.36206E+00" " 2.70541E+01" " 4.23584E+01" " 2.70527E+03" " 7.51528E+01" " 1.20406E+02" " 3.36157E-01" " 8.01740E+01" " 4.88424E+01" " 2.63382E+03" " 2.52098E+01" " 5.07923E+01" " 3.10234E+03" " 2.28281E+01" " 6.57371E+01" " 2.30897E+02" " 3.41626E+02" " 9.46479E+01" " 7.74482E+01"
" 2.56026E-01" " 3.62783E+03" " 4.53269E+03" " 9.41751E+00" " 2.69648E+01" " 4.23253E+01" " 2.70435E+03" " 7.48082E+01" " 1.20407E+02" " 3.30999E-01" " 8.01693E+01" " 4.84671E+01" " 2.63292E+03" " 2.50985E+01" " 5.00550E+01" " 3.10174E+03" " 2.29577E+01" " 6.57757E+01" " 2.29379E+02" " 3.41498E+02" " 9.46768E+01" " 7.74816E+01"
" 2.52745E-01" " 3.66753E+03" " 4.46722E+03" " 9.35429E+00" " 2.68854E+01" " 4.23072E+01" " 2.70513E+03" " 7.54749E+01" " 1.20389E+02" " 3.31977E-01" " 8.02736E+01" " 5.01079E+01" " 2.63394E+03" " 2.51837E+01" " 5.11022E+01" " 3.10286E+03" " 2.30046E+01" " 6.58575E+01" " 2.29318E+02" " 3.41705E+02" " 9.46175E+01" " 7.75268E+01"
" 2.50521E-01" " 3.66404E+03" " 4.50927E+03" " 9.34774E+00" " 2.69024E+01" " 4.23388E+01" " 2.70500E+03" " 7.50000E+01" " 1.20400E+02" " 3.37117E-01" " 8.01094E+01" " 5.00000E+01" " 2.63373E+03" " 2.51602E+01" " 5.00000E+01" " 3.10221E+03" " 2.29487E+01" " 6.57310E+01" " 2.30308E+02" " 3.41434E+02" " 9.45993E+01" " 7.72970E+01"
" 2.50913E-01" " 3.61031E+03" " 4.50792E+03" " 9.32668E+00" " 2.66795E+01" " 4.19900E+01" " 2.70475E+03" " 7.53270E+01" " 1.20400E+02" " 3.36948E-01" " 8.00561E+01" " 5.02514E+01" " 2.63251E+03" " 2.51991E+01" " 4.96856E+01" " 3.10128E+03" " 2.29217E+01" " 6.57315E+01" " 2.31756E+02" " 3.41600E+02" " 9.46450E+01" " 7.73071E+01"
" 2.53267E-01" " 3.63260E+03" " 4.46800E+03" " 9.36206E+00" " 2.70541E+01" " 4.23584E+01" " 2.70527E+03" " 7.51528E+01" " 1.20406E+02" " 3.36157E-01" " 8.01740E+01" " 4.88424E+01" " 2.63382E+03" " 2.52098E+01" " 5.07923E+01" " 3.10234E+03" " 2.28281E+01" " 6.57371E+01" " 2.30897E+02" " 3.41626E+02" " 9.46479E+01" " 7.74482E+01"
" 2.56026E-01" " 3.62783E+03" " 4.53269E+03" " 9.41751E+00" " 2.69648E+01" " 4.23253E+01" " 2.70435E+03" " 7.48082E+01" " 1.20407E+02" " 3.30999E-01" " 8.01693E+01" " 4.84671E+01" " 2.63292E+03" " 2.50985E+01" " 5.00550E+01" " 3.10174E+03" " 2.29577E+01" " 6.57757E+01" " 2.29379E+02" " 3.41498E+02" " 9.46768E+01" " 7.74816E+01"
" 2.52745E-01" " 3.66753E+03" " 4.46722E+03" " 9.35429E+00" " 2.68854E+01" " 4.23072E+01" " 2.70513E+03" " 7.54749E+01" " 1.20389E+02" " 3.31977E-01" " 8.02736E+01" " 5.01079E+01" " 2.63394E+03" " 2.51837E+01" " 5.11022E+01" " 3.10286E+03" " 2.30046E+01" " 6.58575E+01" " 2.29318E+02" " 3.41705E+02" " 9.46175E+01" " 7.75268E+01"
" 2.50521E-01" " 3.66404E+03" " 4.50927E+03" " 9.34774E+00" " 2.69024E+01" " 4.23388E+01" " 2.70500E+03" " 7.50000E+01" " 1.20400E+02" " 3.37117E-01" " 8.01094E+01" " 5.00000E+01" " 2.63373E+03" " 2.51602E+01" " 5.00000E+01" " 3.10221E+03" " 2.29487E+01" " 6.57310E+01" " 2.30308E+02" " 3.41434E+02" " 9.45993E+01" " 7.72970E+01"
" 2.50913E-01" " 3.61031E+03" " 4.50792E+03" " 9.32668E+00" " 2.66795E+01" " 4.19900E+01" " 2.70475E+03" " 7.53270E+01" " 1.20400E+02" " 3.36948E-01" " 8.00561E+01" " 5.02514E+01" " 2.63251E+03" " 2.51991E+01" " 4.96856E+01" " 3.10128E+03" " 2.29217E+01" " 6.57315E+01" " 2.31756E+02" " 3.41600E+02" " 9.46450E+01" " 7.73071E+01"
" 2.53267E-01" " 3.63260E+03" " 4.46800E+03" " 9.36206E+00" " 2.70541E+01" " 4.23584E+01" " 2.70527E+03" " 7.51528E+01" " 1.20406E+02" " 3.36157E-01" " 8.01740E+01" " 4.88424E+01" " 2.63382E+03" " 2.52098E+01" " 5.07923E+01" " 3.10234E+03" " 2.28281E+01" " 6.57371E+01" " 2.30897E+02" " 3.41626E+02" " 9.46479E+01" " 7.74482E+01"
" 2.56026E-01" " 3.62783E+03" " 4.53269E+03" " 9.41751E+00" " 2.69648E+01" " 4.23253E+01" " 2.70435E+03" " 7.48082E+01" " 1.20407E+02" " 3.30999E-01" " 8.01693E+01" " 4.84671E+01" " 2.63292E+03" " 2.50985E+01" " 5.00550E+01" " 3.10174E+03" " 2.29577E+01" " 6.57757E+01" " 2.29379E+02" " 3.41498E+02" " 9.46768E+01" " 7.74816E+01"
" 2.52745E-01" " 3.66753E+03" " 4.46722E+03" " 9.35429E+00" " 2.68854E+01" " 4.23072E+01" " 2.70513E+03" " 7.54749E+01" " 1.20389E+02" " 3.31977E-01" " 8.02736E+01" " 5.01079E+01" " 2.63394E+03" " 2.51837E+01" " 5.11022E+01" " 3.10286E+03" " 2.30046E+01" " 6.58575E+01" " 2.29318E+02" " 3.41705E+02" " 9.46175E+01" " 7.75268E+01"
" 2.50521E-01" " 3.66404E+03" " 4.50927E+03" " 9.34774E+00" " 2.69024E+01" " 4.23388E+01" " 2.70500E+03" " 7.50000E+01" " 1.20400E+02" " 3.37117E-01" " 8.01094E+01" " 5.00000E+01" " 2.63373E+03" " 2.51602E+01" " 5.00000E+01" " 3.10221E+03" " 2.29487E+01" " 6.57310E+01" " 2.30308E+02" " 3.41434E+02" " 9.45993E+01" " 7.72970E+01"
